factor,mean,std,skew,ex_kurtosis,min,max,ADF_stat,ADF_p,JB_p
RatePC1,-4.370956789862821e-20,0.006653979547281842,-5.6817603766426785,151.25635866057556,-0.1312153859728207,0.07137821637102798,-8.027508108433802,1.9989392469690215e-12,0.0
RatePC2,-8.19554398099279e-21,0.0027465621912366183,-0.4659253051539961,7.816114951284954,-0.02225363013157632,0.014594230863793379,-35.96402343499634,0.0,0.0
RatePC3,2.1854783949314105e-20,0.0019467466233964923,0.29498372317036015,10.497030004892782,-0.014420950618615817,0.015420853633027228,-16.805686491422183,1.210305436295054e-29,0.0
ST_GAZP,-0.0004163308170297635,0.026721659519280808,-2.896506217538279,46.64236742455367,-0.3631995063340299,0.22275131753785338,-35.13937211785285,0.0,0.0
ST_GMKN,-0.00039571356718284215,0.020171154963161703,-0.0720458726391296,5.085637381868979,-0.15002916822758508,0.09402495405142414,-27.653968891445928,0.0,3.7077380721162846e-298
ST_LKOH,9.868693304883046e-05,0.02020852225644021,-1.6807149155785133,24.871671242757166,-0.2568070818335618,0.11577148551997539,-36.00146266380442,0.0,0.0
ST_MGNT,-0.0005083082848884079,0.02240224972651023,-2.514891243429003,40.27641518509333,-0.3283953654120617,0.12397923531605681,-19.46881699046287,0.0,0.0
ST_NVTK,-4.0308881247774895e-05,0.024405262549039873,-0.9791229181067319,20.707024677653784,-0.29410240059020515,0.16995416936166707,-18.481045259109862,2.1332258863894426e-30,0.0
ST_PLZL,0.00033532149130623086,0.021965901747124483,-1.515645036590862,24.848709071677295,-0.28216227922818315,0.14690732865220743,-7.959629871507494,2.972548239641063e-12,0.0
ST_ROSN,-5.033628921750632e-05,0.0237785805695719,-5.3873279895315545,106.73280210014511,-0.45147203585308826,0.1555860978497509,-9.48279273657506,3.832742205157938e-16,0.0
ST_SBER,7.688741689682286e-05,0.023828982401257217,-6.055994932143131,111.30117786952118,-0.4551987059417309,0.11768599067595895,-18.11797555994501,2.526375847073397e-30,0.0
ST_SNGS,-0.00040044611756108754,0.02490124095281349,-1.7689104990368683,35.714294475590684,-0.34251861043307763,0.17536530837229003,-19.55350018320574,0.0,0.0
ST_TATN,9.33190385281594e-05,0.0231405406294874,-2.6540440683667703,48.466369708566376,-0.3522105063854745,0.17620820598866221,-8.789963039722009,2.2545111669463297e-14,0.0
FX_USD,5.219464053412365e-05,0.01494897253833495,2.9428986683323552,48.69143064299019,-0.09490354052170315,0.2179388407173499,-9.19021638457303,2.133303330004528e-15,0.0
FX_EUR,1.7982649867083864e-05,0.015003461139015333,2.1739378082038114,37.59344168896962,-0.0945110932191338,0.19981849018150735,-9.435916814528065,5.04313721771713e-16,0.0
